rank	feature_id	instability_count	instability_conditions	mean_SSI	mean_stability_deviation	max_stability_deviation
74	RvY_11066	3	des;lt;uv	0.6964285714285714	0.30357142857142855	0.5714285714285714
75	RvY_12413-1	3	des;lt;uv	0.6964285714285714	0.30357142857142855	0.5714285714285714
76	RvY_13187-1	3	des;lt;uv	0.6964285714285714	0.30357142857142855	0.5714285714285714
77	RvY_14556-1	3	des;lt;uv	0.6964285714285714	0.30357142857142855	0.5714285714285714
78	RvY_15115-1	3	des;lt;uv	0.6964285714285714	0.30357142857142855	0.5714285714285714
79	RvY_17309-1	3	des;lt;uv	0.6964285714285714	0.30357142857142855	0.5714285714285714
80	RvY_00326-1	3	des;lt;uv	0.6994047619047619	0.3005952380952381	0.5
81	RvY_02731	3	des;lt;uv	0.6994047619047619	0.3005952380952381	0.5
82	RvY_02809-1	3	des;lt;uv	0.6994047619047619	0.3005952380952381	0.5
83	RvY_06965-1	3	des;lt;uv	0.6994047619047619	0.3005952380952381	0.5
84	RvY_07508-1	3	des;lt;uv	0.6994047619047619	0.3005952380952381	0.5
85	RvY_07951-1	3	des;lt;uv	0.6994047619047619	0.3005952380952381	0.5
86	RvY_08543-1	3	des;lt;uv	0.6994047619047619	0.3005952380952381	0.5
87	RvY_09431-1	3	des;lt;uv	0.6994047619047619	0.3005952380952381	0.5
88	RvY_09605	3	des;lt;uv	0.6994047619047619	0.3005952380952381	0.5
89	RvY_10230	3	des;lt;uv	0.6994047619047619	0.3005952380952381	0.5
90	RvY_12455-1	3	des;lt;uv	0.6994047619047619	0.3005952380952381	0.5
91	RvY_15402	3	des;lt;uv	0.6994047619047619	0.3005952380952381	0.5
92	RvY_17140	3	des;lt;uv	0.6994047619047619	0.3005952380952381	0.5
93	RvY_17686-1	3	des;lt;uv	0.6994047619047619	0.3005952380952381	0.5
94	RvY_18847-1	3	des;lt;uv	0.6994047619047619	0.3005952380952381	0.5
95	RvY_19006	3	des;lt;uv	0.6994047619047619	0.3005952380952381	0.5
96	RvY_02601-1	3	des;gam;lt	0.7023809523809523	0.2976190476190476	0.5
97	RvY_04687-1	3	des;gam;lt	0.7023809523809523	0.2976190476190476	0.5
98	RvY_05599-1	3	des;gam;lt	0.7023809523809523	0.2976190476190476	0.5
99	RvY_12380-1	3	des;gam;lt	0.7023809523809523	0.2976190476190476	0.5
100	RvY_17527-1	3	des;gam;lt	0.7023809523809523	0.2976190476190476	0.5
101	RvY_18571-1	3	des;gam;lt	0.7023809523809523	0.2976190476190476	0.5
102	RvY_05949-1	3	des;lt;uv	0.7053571428571429	0.29464285714285715	0.6428571428571428
103	RvY_18848-1	3	des;lt;uv	0.7053571428571429	0.29464285714285715	0.6428571428571428
104	RvY_01225-1	3	des;lt;uv	0.7083333333333334	0.2916666666666667	0.5
105	RvY_02313-1	3	des;lt;uv	0.7083333333333334	0.2916666666666667	0.5
106	RvY_03243	3	des;lt;uv	0.7083333333333334	0.2916666666666667	0.5
107	RvY_06794-1	3	des;lt;uv	0.7083333333333334	0.2916666666666667	0.5
108	RvY_07344-1	3	des;lt;uv	0.7083333333333334	0.2916666666666667	0.5
109	RvY_07369-1	3	des;lt;uv	0.7083333333333334	0.2916666666666667	0.5
110	RvY_08416-1	3	des;lt;uv	0.7083333333333334	0.2916666666666667	0.5
111	RvY_10224-1	3	des;lt;uv	0.7083333333333334	0.2916666666666667	0.5
112	RvY_15127-1	3	des;lt;uv	0.7083333333333334	0.2916666666666667	0.5
113	RvY_16654-1	3	des;lt;uv	0.7083333333333334	0.2916666666666667	0.5
