condition	feature_id	n_perturbations	n_up	n_down	n_const	p_up	p_down	p_const	dominant_state	ssi	stability_region	signal_class	stability_deviation
DES	RvY_00787-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00788-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00789-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00790-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00791-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00792-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00793	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00794-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00795-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00803-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00805-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00809-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00811	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00814-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00815-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00820-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00821-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00825-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00826-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00827	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00828	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00829-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00832-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
DES	RvY_00833-1	2	0	0	2	0	0	1	constant	1	Highly Stable	Highly Stable Constant	0
