condition	feature_id	p_up	p_down	p_const	ssi	dominant_state	stability_region	signal_class
LT	RvY_07212-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07213-1	0	0.5	0.5	0.5	tied	Low Stability	Low Stability
LT	RvY_07214	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07215-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07216-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07217-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07218-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07219	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07220-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07221-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07222-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07223-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07224-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07225-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07226-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07228-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07229-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07230	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07231-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07232-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07234-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07236-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07238	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07239-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07240-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07241-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07242-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07243-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07244-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07245-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07246-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07247-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07248-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07249-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
